Gender,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,What is your race?,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?,Do you believe in ghosts?
Male,55-64,Independent,Strongly Approve,College degree,White,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,55-64,Republican,Strongly Approve,Graduate degree,Asian,Married,Unlikely,Not Real At All,3,Somewhat Agree,Somewhat Agree,About Right,FALSE,Smart and Sad,Acceptable,Yes
Female,55-64,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Female,25-34,Democrat,Somewhat disapprove,Graduate degree,Black,Single,Unlikely,Real but not Caused by People,1,Neither Agree nor Disagree,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,No
Female,35-44,DK/REF,Somewhat Approve,Some college,White,Married,Unlikely,DK/REF,5,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Female,55-64,Republican,Strongly Approve,Some college,White,Married,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,Too High,FALSE,Dumb and happy,Acceptable,Yes
Male,55-64,Independent,Somewhat disapprove,College degree,White,Married,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,About Right,TRUE,Smart and Sad,Acceptable,No
Female,55-64,Independent,Somewhat Approve,Some college,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,No
Female,45-54,Independent,Somewhat Approve,College degree,White,Divorced,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Acceptable,Yes
Female,55-64,Independent,Neither approve nor disapprove,College degree,DK/REF,Married,Unlikely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,Too Low,TRUE,DK/REF,Unacceptable,No
Female,55-64,Independent,Strongly Approve,Some college,White,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,Too High,TRUE,Smart and Sad,Unacceptable,Yes
Female,55-64,Independent,Strongly Approve,High school,White,Divorced,Likely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Male,45-54,Democrat,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,DK/REF,Yes
Female,55-64,Republican,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,Yes
Female,65+,Democrat,Strongly disapprove,High school,Black,Divorced,DK/REF,Real and Caused by People,0,Strongly Disagree,Strongly Disagree,Too High,TRUE,Dumb and happy,Unacceptable,No
Male,45-54,Democrat,Strongly disapprove,High school,White,Married,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,Yes
Female,65+,DK/REF,Strongly Approve,High school,White,Single,Unlikely,Real but not Caused by People,1,Somewhat Disagree,DK/REF,Too High,TRUE,Dumb and happy,Unacceptable,No
Female,35-44,Republican,Strongly Approve,College degree,White,Married,Likely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,Too High,TRUE,Smart and Sad,Unacceptable,No
Male,45-54,Republican,Somewhat Approve,College degree,Black,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,DK/REF,TRUE,Dumb and happy,Acceptable,No
Female,25-34,Democrat,Strongly disapprove,High school,White,Single,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Male,55-64,Independent,Somewhat Approve,College degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Other,35-44,Independent,Strongly Approve,Graduate degree,Black,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,DK/REF,FALSE,Dumb and happy,Unacceptable,DK/REF
Male,55-64,Independent,Strongly disapprove,Some college,White,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Male,55-64,Independent,Strongly disapprove,College degree,White,Separated,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,FALSE,DK/REF,DK/REF,No
Female,55-64,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Female,55-64,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Female,55-64,Republican,Somewhat Approve,Some college,White,Widowed,Unlikely,Real but not Caused by People,0,DK/REF,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,Yes
Female,45-54,Independent,Strongly disapprove,Some college,Black,In a relationship,Unlikely,Real but not Caused by People,4,Strongly Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,Yes
Female,55-64,Republican,Strongly Approve,Some college,White,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Disagree,About Right,TRUE,Smart and Sad,Acceptable,Yes
Female,55-64,DK/REF,Strongly Approve,High school,Other,Married,Likely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,DK/REF,Yes
Male,45-54,Independent,Somewhat Approve,Graduate degree,White,Single,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,No
Female,55-64,DK/REF,DK/REF,DK/REF,White,Married,Unlikely,DK/REF,2,Somewhat Disagree,Somewhat Disagree,DK/REF,DK/REF,Dumb and happy,DK/REF,No
Female,55-64,DK/REF,Strongly disapprove,Other,DK/REF,Married,Unlikely,Real and Caused by People,3,Strongly Disagree,Somewhat Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Female,55-64,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,Too Low,FALSE,DK/REF,DK/REF,No
Male,55-64,Republican,Neither approve nor disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,Too High,FALSE,Smart and Sad,Unacceptable,No
Female,55-64,Republican,Somewhat Approve,Graduate degree,White,Married,DK/REF,Not Real At All,0,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,DK/REF,Yes
Female,65+,Democrat,Strongly disapprove,High school,Black,Separated,Likely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Disagree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,55-64,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,Too Low,TRUE,Smart and Sad,Unacceptable,No
Female,55-64,Independent,Strongly Approve,High school,White,Divorced,Unlikely,DK/REF,2,Strongly Agree,Strongly Agree,DK/REF,DK/REF,Smart and Sad,Acceptable,Yes
Female,65+,Republican,Strongly Approve,High school,White,In a relationship,Likely,Not Real At All,,Strongly Disagree,Strongly Disagree,Too High,TRUE,Dumb and happy,Unacceptable,Yes
Female,35-44,Independent,Strongly disapprove,High school,White,Married,Unlikely,Real but not Caused by People,5,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
Male,65+,Independent,Somewhat Approve,Graduate degree,White,In a relationship,Unlikely,Not Real At All,0,Strongly Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,No
Male,55-64,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Disagree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,55-64,Republican,Strongly Approve,College degree,DK/REF,Married,Unlikely,Not Real At All,2,Strongly Disagree,Somewhat Agree,About Right,TRUE,Smart and Sad,DK/REF,No
Female,55-64,Independent,Strongly disapprove,High school,White,Single,Unlikely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,Yes
Male,45-54,Independent,Somewhat Approve,Graduate degree,DK/REF,Married,Unlikely,Real but not Caused by People,3,Strongly Disagree,Somewhat Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,No
Female,35-44,Independent,Strongly Approve,High school,Other,Married,DK/REF,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
Female,55-64,Independent,Strongly disapprove,Some college,White,In a relationship,Likely,Real and Caused by People,4,Somewhat Disagree,Strongly Disagree,Too High,FALSE,Dumb and happy,Unacceptable,Yes
Female,55-64,Independent,Strongly Approve,High school,White,Married,Likely,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,About Right,TRUE,DK/REF,Unacceptable,DK/REF
Male,35-44,Independent,Strongly Approve,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Female,35-44,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,About Right,FALSE,Smart and Sad,Unacceptable,Yes
Female,55-64,Republican,Somewhat Approve,College degree,White,Married,Unlikely,Real but not Caused by People,3,Somewhat Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,Yes
Female,65+,Democrat,Strongly disapprove,High school,White,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Female,25-34,Democrat,Strongly disapprove,Some college,White,Married,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,No
Female,55-64,Republican,Strongly Approve,Some college,White,Married,Unlikely,Real but not Caused by People,2,Somewhat Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Female,55-64,Republican,Somewhat Approve,High school,Black,Married,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Disagree,About Right,TRUE,Dumb and happy,Unacceptable,No
Male,55-64,Independent,Strongly Approve,Some college,White,Married,Unlikely,Not Real At All,1,Somewhat Disagree,Somewhat Agree,About Right,FALSE,Smart and Sad,DK/REF,No
Male,55-64,Independent,Strongly Approve,College degree,White,Married,Likely,Not Real At All,3,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Male,55-64,Independent,Strongly Approve,Some college,Other,Widowed,Unlikely,Not Real At All,4,Strongly Disagree,DK/REF,Too High,TRUE,Smart and Sad,Acceptable,No
Male,55-64,Independent,Strongly Approve,Graduate degree,Latino,Single,Unlikely,Not Real At All,4,Somewhat Disagree,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,No
Female,55-64,Republican,Strongly Approve,Some college,White,Married,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,Yes
Female,55-64,DK/REF,Somewhat disapprove,College degree,White,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,55-64,Democrat,Strongly disapprove,High school,Black,Divorced,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,25-34,Independent,Strongly disapprove,Some college,White,Single,DK/REF,Real and Caused by People,0,Strongly Disagree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,No
Male,35-44,Republican,Somewhat Approve,Graduate degree,White,Married,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Unacceptable,No
Female,25-34,Democrat,Strongly disapprove,High school,Black,Single,DK/REF,DK/REF,,DK/REF,DK/REF,DK/REF,DK/REF,Dumb and happy,Unacceptable,Yes
Female,45-54,Democrat,Strongly disapprove,Some college,Latino,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,TRUE,DK/REF,Unacceptable,Yes
Male,45-54,Democrat,Strongly disapprove,High school,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,55-64,Republican,Strongly Approve,Graduate degree,White,Widowed,Unlikely,DK/REF,0,Strongly Agree,Somewhat Disagree,DK/REF,FALSE,Dumb and happy,Acceptable,No
Male,55-64,Republican,Strongly Approve,Some college,White,Divorced,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Female,55-64,DK/REF,Strongly disapprove,Some college,White,Married,DK/REF,Real and Caused by People,0,Strongly Disagree,Strongly Disagree,Too High,FALSE,Smart and Sad,Acceptable,Yes
Male,35-44,DK/REF,Somewhat Approve,College degree,White,Divorced,Likely,Real and Caused by People,2,Neither Agree nor Disagree,Somewhat Agree,Too Low,TRUE,Dumb and happy,Unacceptable,No
Male,55-64,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,DK/REF,No
Male,45-54,Independent,Somewhat Approve,High school,Black,Married,Unlikely,Not Real At All,1,Somewhat Agree,Somewhat Disagree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Male,65+,Independent,Somewhat disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,Too Low,TRUE,Smart and Sad,Unacceptable,No
Male,55-64,DK/REF,Strongly disapprove,High school,White,Single,DK/REF,Real and Caused by People,3,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Female,45-54,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
Female,65+,Democrat,Strongly disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Unacceptable,No
Female,55-64,Independent,Strongly Approve,College degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,About Right,TRUE,DK/REF,Acceptable,No
Other,18-24,DK/REF,DK/REF,College degree,DK/REF,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Acceptable,Yes
Female,55-64,Democrat,Strongly disapprove,Graduate degree,White,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Unacceptable,Yes
Male,55-64,Independent,Neither approve nor disapprove,Some college,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Acceptable,No
Male,45-54,Republican,Strongly Approve,College degree,White,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,No
Female,45-54,Democrat,Strongly disapprove,College degree,White,Separated,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,Too Low,FALSE,Dumb and happy,Unacceptable,Yes
Female,55-64,Republican,Somewhat Approve,College degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Male,55-64,Democrat,Strongly disapprove,High school,Latino,Single,Likely,Real and Caused by People,4,Strongly Disagree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Male,55-64,Democrat,Somewhat disapprove,High school,White,Single,Unlikely,Not Real At All,2,Somewhat Disagree,Somewhat Disagree,About Right,FALSE,Dumb and happy,Unacceptable,No
Female,25-34,Democrat,Strongly disapprove,College degree,Latino,Single,Likely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,Too High,TRUE,Smart and Sad,Acceptable,No
Female,18-24,Democrat,Strongly disapprove,Some college,White,Single,Unlikely,Real and Caused by People,4,Strongly Disagree,Strongly Agree,Too High,FALSE,Smart and Sad,Acceptable,Yes
Male,25-34,Democrat,Somewhat Approve,Some college,Asian,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Disagree,DK/REF,TRUE,Dumb and happy,DK/REF,Yes
Male,45-54,Republican,Somewhat Approve,Graduate degree,White,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,Too High,FALSE,Dumb and happy,Unacceptable,No
Female,55-64,Independent,Strongly disapprove,Other,Latino,In a relationship,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,About Right,FALSE,Dumb and happy,Acceptable,Yes
Female,35-44,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,4,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,DK/REF,Yes
Male,35-44,Democrat,Strongly disapprove,High school,Asian,Single,Unlikely,Not Real At All,5,Strongly Disagree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Female,55-64,Republican,Somewhat Approve,College degree,White,Widowed,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,Yes
Male,45-54,Independent,Somewhat Approve,College degree,White,Single,Unlikely,Real and Caused by People,,Somewhat Agree,Somewhat Agree,Too Low,TRUE,Smart and Sad,Acceptable,Yes
Female,65+,Independent,Strongly disapprove,Some college,White,Widowed,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,Yes
Male,18-24,Independent,Strongly disapprove,High school,Latino,Single,Likely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,About Right,TRUE,Smart and Sad,Acceptable,No
Female,65+,Independent,Somewhat Approve,Graduate degree,Other,Widowed,Unlikely,Not Real At All,2,Somewhat Agree,Strongly Agree,DK/REF,FALSE,Dumb and happy,Acceptable,No
Female,55-64,Republican,Strongly Approve,Graduate degree,White,Married,Unlikely,Real but not Caused by People,3,DK/REF,Somewhat Agree,DK/REF,DK/REF,DK/REF,DK/REF,No
Male,65+,Republican,Strongly Approve,College degree,White,Single,Unlikely,Not Real At All,4,Strongly Disagree,Strongly Agree,Too High,FALSE,Dumb and happy,Unacceptable,No
Female,65+,Democrat,Strongly disapprove,Some college,White,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Male,25-34,Independent,Somewhat Approve,High school,Latino,Single,Unlikely,Not Real At All,3,Somewhat Disagree,Somewhat Agree,Too High,TRUE,Smart and Sad,Unacceptable,Yes
Male,55-64,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Acceptable,No
Male,35-44,Independent,Strongly Approve,Graduate degree,White,Married,Unlikely,Not Real At All,1,Strongly Disagree,Strongly Disagree,About Right,TRUE,Dumb and happy,Acceptable,Yes
Male,65+,Independent,Somewhat disapprove,College degree,White,Widowed,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Disagree,Too Low,TRUE,Dumb and happy,Unacceptable,No
Male,18-24,Independent,Somewhat Approve,Some college,Latino,Single,Unlikely,Real but not Caused by People,1,Somewhat Agree,Somewhat Agree,DK/REF,FALSE,Smart and Sad,Unacceptable,No
Female,55-64,Democrat,Strongly disapprove,College degree,White,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Male,25-34,Independent,Strongly Approve,High school,White,Married,Unlikely,Real but not Caused by People,0,Strongly Disagree,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,Yes
Male,55-64,Independent,Somewhat Approve,Some college,White,Married,Unlikely,Real but not Caused by People,0,Strongly Disagree,Somewhat Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,Yes
Female,65+,Democrat,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,DK/REF,TRUE,Dumb and happy,Unacceptable,No
Male,55-64,Independent,Strongly disapprove,College degree,White,Married,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Female,55-64,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,Yes
Female,55-64,Independent,Strongly Approve,High school,White,Divorced,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
Male,18-24,Democrat,Strongly disapprove,Graduate degree,Asian,Single,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,DK/REF,No
Female,55-64,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real but not Caused by People,5,Somewhat Agree,Strongly Agree,Too Low,DK/REF,Smart and Sad,DK/REF,Yes
Female,65+,Independent,Strongly disapprove,College degree,White,In a relationship,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,DK/REF,DK/REF,No
Female,25-34,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real but not Caused by People,5,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Acceptable,Yes
Male,25-34,Independent,Somewhat disapprove,College degree,White,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,25-34,Democrat,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,DK/REF,Smart and Sad,Unacceptable,No
Female,25-34,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
Female,45-54,Independent,Somewhat Approve,High school,White,Single,Unlikely,Real and Caused by People,1,Somewhat Disagree,Somewhat Disagree,DK/REF,TRUE,Dumb and happy,Unacceptable,No
Male,35-44,Independent,Strongly Approve,High school,White,In a relationship,Unlikely,Not Real At All,4,Strongly Disagree,Strongly Disagree,About Right,FALSE,Dumb and happy,Unacceptable,Yes
Male,55-64,Republican,Strongly Approve,High school,White,Married,Unlikely,Not Real At All,0,Neither Agree nor Disagree,Strongly Agree,Too High,TRUE,Dumb and happy,Unacceptable,No
Male,65+,Republican,Strongly Approve,Graduate degree,DK/REF,Divorced,Unlikely,Real but not Caused by People,1,Somewhat Disagree,Strongly Agree,About Right,FALSE,Smart and Sad,DK/REF,Yes
Female,65+,Independent,Strongly Approve,Graduate degree,White,Married,Likely,Not Real At All,2,Somewhat Agree,Strongly Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,DK/REF
Female,55-64,Independent,Strongly Approve,Some college,Asian,Married,Likely,Not Real At All,2,Somewhat Disagree,Strongly Disagree,Too High,FALSE,Dumb and happy,Unacceptable,Yes
Male,25-34,Independent,Neither approve nor disapprove,High school,Black,Married,Unlikely,Real and Caused by People,5,Strongly Disagree,Strongly Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,Yes
Male,35-44,Democrat,Strongly disapprove,High school,White,Single,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Other,55-64,Independent,Strongly Approve,Other,White,Single,Likely,Real and Caused by People,,Strongly Disagree,DK/REF,About Right,TRUE,DK/REF,DK/REF,Yes
Female,55-64,Democrat,Somewhat Approve,College degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Smart and Sad,DK/REF,Yes
Male,18-24,Independent,Strongly disapprove,High school,White,Single,Unlikely,Real and Caused by People,4,Strongly Agree,Somewhat Disagree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Female,55-64,Democrat,Strongly disapprove,College degree,Black,Separated,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Disagree,Too High,FALSE,Dumb and happy,Acceptable,Yes
Female,55-64,Democrat,Somewhat Approve,Some college,White,Widowed,DK/REF,Real and Caused by People,4,Somewhat Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Male,18-24,Republican,Strongly Approve,Graduate degree,Latino,Single,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Disagree,About Right,FALSE,Smart and Sad,Acceptable,No
Female,25-34,DK/REF,DK/REF,College degree,Black,Married,Unlikely,Not Real At All,1,Somewhat Disagree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Female,65+,DK/REF,DK/REF,College degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Disagree,DK/REF,DK/REF,Dumb and happy,Acceptable,No
Male,35-44,Independent,Somewhat disapprove,Some college,Black,Married,Unlikely,Real and Caused by People,,Somewhat Agree,Somewhat Disagree,Too Low,FALSE,Smart and Sad,Unacceptable,Yes
Male,18-24,Republican,Strongly Approve,Graduate degree,White,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Acceptable,Yes
Female,45-54,Democrat,Strongly Approve,Some college,White,Divorced,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
Female,18-24,Republican,DK/REF,Some college,White,In a relationship,Unlikely,Real and Caused by People,5,Somewhat Agree,Somewhat Agree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Female,18-24,Independent,Somewhat disapprove,Some college,Latino,In a relationship,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,Too High,TRUE,Dumb and happy,Acceptable,Yes
Male,65+,Independent,Strongly Approve,College degree,Asian,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,Too Low,DK/REF,Dumb and happy,Acceptable,DK/REF
Female,35-44,Independent,Strongly disapprove,Some college,White,Married,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Female,65+,DK/REF,Strongly Approve,College degree,DK/REF,Single,Unlikely,Not Real At All,4,Somewhat Agree,Strongly Disagree,Too Low,FALSE,DK/REF,DK/REF,No
Male,25-34,Democrat,Strongly disapprove,Graduate degree,White,In a relationship,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Female,35-44,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real and Caused by People,3,Somewhat Disagree,Strongly Disagree,Too Low,TRUE,Smart and Sad,Unacceptable,Yes
Female,65+,Democrat,Strongly disapprove,Graduate degree,White,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Male,45-54,DK/REF,Strongly disapprove,Some college,White,Divorced,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
